Table1,Table2,Table3,Table4
ABa,1,1.431,0
ABa,2,2.862,0
ABa,3,4.293,0
ABal,4,5.724,0
ABal,5,7.155,0
ABal,6,8.586,0
ABal,7,10.017,0
ABal,8,11.448,0
ABal,9,12.879,0
ABal,10,14.31,0
ABal,11,15.741,0
ABal,12,17.172,0
ABal,13,18.603,0
ABal,14,20.034,0
ABala,15,21.465,0
ABala,16,22.896,0
ABala,17,24.327,0
ABala,18,25.758,0
ABala,19,27.189,0
ABala,20,28.62,0
ABala,21,30.051,0
ABala,22,31.482,0
ABala,23,32.913,0
ABala,24,34.344,0
ABala,25,35.775,0
ABala,26,37.206,0
ABala,27,38.637,0
ABalaa,28,40.068,0
ABalaa,29,41.499,0
ABalaa,30,42.93,0
ABalaa,31,44.361,0
ABalaa,32,45.792,0
ABalaa,33,47.223,0
ABalaa,34,48.654,0
ABalaa,35,50.085,0
ABalaa,36,51.516,0
ABalaa,37,52.947,0
ABalaa,38,54.378,0
ABalaa,39,55.809,0
ABalaa,40,57.24,0
ABalaa,41,58.671,0
ABalaa,42,60.102,0
ABalaa,43,61.533,0
ABalaaa,44,62.964,0
ABalaaa,45,64.395,0.0115896408642152
ABalaaa,46,65.826,0
ABalaaa,47,67.257,0
ABalaaa,48,68.688,0
ABalaaa,49,70.119,0
ABalaaa,50,71.55,0
ABalaaa,51,72.981,0
ABalaaa,52,74.412,0
ABalaaa,53,75.843,0
ABalaaa,54,77.274,0
ABalaaa,55,78.705,0
ABalaaa,56,80.136,0
ABalaaa,57,81.567,0
ABalaaa,58,82.998,0
ABalaaa,59,84.429,0
ABalaaa,60,85.86,0
ABalaaa,61,87.291,0
ABalaaa,62,88.722,0
ABalaaa,63,90.153,0
ABalaaa,64,91.584,0
ABalaaaa,65,93.015,0
ABalaaaa,66,94.446,0
ABalaaaa,67,95.877,0
ABalaaaa,68,97.308,0
ABalaaaa,69,98.739,0
ABalaaaa,70,100.17,0.00586636142509658
ABalaaaa,71,101.601,0.000715409929889827
ABalaaaa,72,103.032,0
ABalaaaa,73,104.463,0
ABalaaaa,74,105.894,0
ABalaaaa,75,107.325,0.00429245957933896
ABalaaaa,76,108.756,0
ABalaaaa,77,110.187,0
ABalaaaa,78,111.618,0
ABalaaaa,79,113.049,0
ABalaaaa,80,114.48,0
ABalaaaa,81,115.911,0
ABalaaaa,82,117.342,0
ABalaaaa,83,118.773,0
ABalaaaa,84,120.204,0
ABalaaaa,85,121.635,0
ABalaaaa,86,123.066,0
ABalaaaa,87,124.497,0
ABalaaaa,88,125.928,0
ABalaaaa,89,127.359,0
ABalaaaa,90,128.79,0
ABalaaaa,91,130.221,0
ABalaaaal,92,131.652,0
ABalaaaal,93,133.083,0
ABalaaaal,94,134.514,0
ABalaaaal,95,135.945,0
ABalaaaal,96,137.376,0
ABalaaaal,97,138.807,0
ABalaaaal,98,140.238,0
ABalaaaal,99,141.669,0
ABalaaaal,100,143.1,0
ABalaaaal,101,144.531,0
ABalaaaal,102,145.962,0
ABalaaaal,103,147.393,0
ABalaaaal,104,148.824,0.0429245957933896
ABalaaaal,105,150.255,0.00472170553727286
ABalaaaal,106,151.686,0.00472170553727286
ABalaaaal,107,153.117,0.0310487909572185
ABalaaaal,108,154.548,0
ABalaaaal,109,155.979,0.012448132780083
ABalaaaal,110,157.41,0
ABalaaaal,111,158.841,0.0070110173129203
ABalaaaal,112,160.272,0
ABalaaaal,113,161.703,0
ABalaaaal,114,163.134,0
ABalaaaal,115,164.565,0
ABalaaaal,116,165.996,0
ABalaaaal,117,167.427,0
ABalaaaal,118,168.858,0
ABalaaaal,119,170.289,0
ABalaaaal,120,171.72,0.0346258406066676
ABalaaaal,121,173.151,0.00357704964944913
ABalaaaala,122,174.582,0
ABalaaaala,123,176.013,0
ABalaaaala,124,177.444,0
ABalaaaala,125,178.875,0.0131635427099728
ABalaaaala,126,180.306,0
ABalaaaala,127,181.737,0.00200314780369152
ABalaaaala,128,183.168,0.00243239376162541
ABalaaaala,129,184.599,0.000858491915867792
ABalaaaala,130,186.03,0.000858491915867792
ABalaaaala,131,187.461,0.00658177135498641
ABalaaaala,132,188.892,0
ABalaaaala,133,190.323,0
ABalaaaala,134,191.754,0
ABalaaaala,135,193.185,0.0309057089712405
ABalaaaala,136,194.616,0
ABalaaaala,137,196.047,0
ABalaaaala,138,197.478,0
ABalaaaala,139,198.909,0
ABalaaaala,140,200.34,0.0197453140649592
ABalaaaala,141,201.771,0
ABalaaaala,142,203.202,0
ABalaaaala,143,204.633,0
ABalaaaala,144,206.064,0
ABalaaaala,145,207.495,0
ABalaaaala,146,208.926,0
ABalaaaala,147,210.357,0
ABalaaaala,148,211.788,0.0197453140649592
ABalaaaala,149,213.219,0
ABalaaaala,150,214.65,0
ABalaaaala,151,216.081,0
ABalaaaala,152,217.512,0.0191729861210474
ABalaaaala,153,218.943,0
ABalaaaala,154,220.374,0
ABalaaaala,155,221.805,0
ABalaaaala,156,223.236,0
ABalaaaala,157,224.667,NaN
ABalaaaala,158,226.098,NaN
ABalaaaala,159,227.529,NaN
ABalaaaala,160,228.96,NaN
ABalaaaala,161,230.391,NaN
ABalaaaala,162,231.822,NaN
ABalaaaala,163,233.253,NaN
ABalaaaala,164,234.684,NaN
ABalaaaala,165,236.115,NaN
ABalaaaala,166,237.546,NaN
ABalaaaala,167,238.977,NaN
ABalaaaala,168,240.408,NaN
ABalaaaala,169,241.839,NaN
ABalaaaala,170,243.27,NaN
ABalaaaala,171,244.701,NaN
ABalaaaala,172,246.132,NaN
ABalaaaala,173,247.563,NaN
ABalaaaala,174,248.994,NaN
ABalaaaala,175,250.425,NaN
ABalaaaala,176,251.856,NaN
ABalaaaala,177,253.287,NaN
ABalaaaala,178,254.718,NaN
ABalaaaala,179,256.149,NaN
ABalaaaala,180,257.58,NaN
ABalaaaala,181,259.011,NaN
ABalaaaala,182,260.442,NaN
ABalaaaalal,183,261.873,NaN
ABalaaaalal,184,263.304,NaN
ABalaaaalal,185,264.735,NaN
ABalaaaalal,186,266.166,NaN
ABalaaaalal,187,267.597,NaN
ABalaaaalal,188,269.028,NaN
ABalaaaalal,189,270.459,NaN
ABalaaaalal,190,271.89,NaN
ABalaaaalal,191,273.321,NaN
ABalaaaalal,192,274.752,NaN
ABalaaaalal,193,276.183,NaN
ABalaaaalal,194,277.614,NaN
ABalaaaalal,195,279.045,NaN
ABalaaaalal,196,280.476,NaN
ABalaaaalal,197,281.907,NaN
ABalaaaalal,198,283.338,NaN
ABalaaaalal,199,284.769,NaN
ABalaaaalal,200,286.2,NaN
ABalaaaalal,201,287.631,NaN
ABalaaaalal,202,289.062,NaN
ABalaaaalal,203,290.493,NaN
ABalaaaalal,204,291.924,NaN
ABalaaaalal,205,293.355,NaN
ABp,1,1.431,0
ABp,2,2.862,0
ABp,3,4.293,0
ABar,4,5.724,0
ABar,5,7.155,0
ABar,6,8.586,0
ABar,7,10.017,0
ABar,8,11.448,0
ABar,9,12.879,0
ABar,10,14.31,0
ABar,11,15.741,0
ABar,12,17.172,0
ABar,13,18.603,0
ABar,14,20.034,0
ABar,15,21.465,0
ABalp,15,21.465,0
ABalp,16,22.896,0
ABalp,17,24.327,0
ABalp,18,25.758,0
ABalp,19,27.189,0
ABalp,20,28.62,0
ABalp,21,30.051,0
ABalp,22,31.482,0
ABalp,23,32.913,0
ABalp,24,34.344,0
ABalp,25,35.775,0
ABalp,26,37.206,0
ABalap,28,40.068,0
ABalap,29,41.499,0
ABalap,30,42.93,0
ABalap,31,44.361,0
ABalap,32,45.792,0
ABalap,33,47.223,0
ABalap,34,48.654,0
ABalap,35,50.085,0
ABalap,36,51.516,0
ABalap,37,52.947,0
ABalap,38,54.378,0
ABalap,39,55.809,0
ABalap,40,57.24,0
ABalap,41,58.671,0
ABalap,42,60.102,0
ABalap,43,61.533,0
ABalap,44,62.964,0
ABalap,45,64.395,0.0251824295321219
ABalaap,44,62.964,0
ABalaap,45,64.395,0.00844183717269996
ABalaap,46,65.826,0
ABalaap,47,67.257,0
ABalaap,48,68.688,0
ABalaap,49,70.119,0
ABalaap,50,71.55,0
ABalaap,51,72.981,0
ABalaap,52,74.412,0
ABalaap,53,75.843,0
ABalaap,54,77.274,0
ABalaap,55,78.705,0
ABalaap,56,80.136,0
ABalaap,57,81.567,0
ABalaap,58,82.998,0
ABalaap,59,84.429,0
ABalaap,60,85.86,0
ABalaap,61,87.291,0
ABalaap,62,88.722,0
ABalaap,63,90.153,0
ABalaap,64,91.584,0
ABalaaap,65,93.015,0
ABalaaap,66,94.446,0
ABalaaap,67,95.877,0
ABalaaap,68,97.308,0
ABalaaap,69,98.739,0
ABalaaap,70,100.17,0
ABalaaap,71,101.601,0
ABalaaap,72,103.032,0
ABalaaap,73,104.463,0
ABalaaap,74,105.894,0
ABalaaap,75,107.325,0
ABalaaap,76,108.756,0
ABalaaap,77,110.187,0
ABalaaap,78,111.618,0
ABalaaap,79,113.049,0
ABalaaap,80,114.48,0
ABalaaap,81,115.911,0
ABalaaap,82,117.342,0
ABalaaap,83,118.773,0.00429245957933896
ABalaaap,84,120.204,0
ABalaaap,85,121.635,0
ABalaaap,86,123.066,0
ABalaaap,87,124.497,0.0268994133638575
ABalaaaar,92,131.652,0.0319072828730863
ABalaaaar,93,133.083,0
ABalaaaar,94,134.514,0
ABalaaaar,95,135.945,0.00257547574760338
ABalaaaar,96,137.376,0.0151666905136643
ABalaaaar,97,138.807,0.0151666905136643
ABalaaaar,98,140.238,0
ABalaaaar,99,141.669,0
ABalaaaar,100,143.1,0.00600944341107455
ABalaaaar,101,144.531,0
ABalaaaar,102,145.962,0
ABalaaaar,103,147.393,0
ABalaaaar,104,148.824,0.0107311489483474
ABalaaaar,105,150.255,0
ABalaaaar,106,151.686,0.00615252539705251
ABalaaaar,107,153.117,0
ABalaaaar,108,154.548,0
ABalaaaar,109,155.979,0
ABalaaaar,110,157.41,0
ABalaaaar,111,158.841,0
ABalaaaar,112,160.272,0
ABalaaaar,113,161.703,0
ABalaaaar,114,163.134,0.012591214766061
ABalaaaar,115,164.565,0
ABalaaaar,116,165.996,0.00429245957933896
ABalaaaar,117,167.427,0
ABalaaaar,118,168.858,0
ABalaaaar,119,170.289,0
ABalaaaar,120,171.72,0
ABalaaaar,121,173.151,0.00844183717269996
ABalaaaar,122,174.582,0
ABalaaaar,123,176.013,0
ABalaaaar,124,177.444,0
ABalaaaalp,122,174.582,0
ABalaaaalp,123,176.013,0
ABalaaaalp,124,177.444,0
ABalaaaalp,125,178.875,0.00429245957933896
ABalaaaalp,126,180.306,0.00915724710258978
ABalaaaalp,127,181.737,0
ABalaaaalp,128,183.168,0
ABalaaaalp,129,184.599,0
ABalaaaalp,130,186.03,0
ABalaaaalp,131,187.461,0
ABalaaaalp,132,188.892,0
ABalaaaalp,133,190.323,0
ABalaaaalp,134,191.754,0
ABalaaaalp,135,193.185,0
ABalaaaalp,136,194.616,0
ABalaaaalp,137,196.047,0
ABalaaaalp,138,197.478,0
ABalaaaalp,139,198.909,0
ABalaaaalp,140,200.34,0
ABalaaaalp,141,201.771,0
ABalaaaalp,142,203.202,0
ABalaaaalp,143,204.633,0
ABalaaaalp,144,206.064,0
ABalaaaalp,145,207.495,0
ABalaaaalp,146,208.926,0
ABalaaaalp,147,210.357,0.0120188868221491
ABalaaaalp,148,211.788,0
ABalaaaalp,149,213.219,0
ABalaaaalp,150,214.65,0
ABalaaaalp,151,216.081,0
ABalaaaalp,152,217.512,0.0424953498354557
ABalaaaalp,153,218.943,0
ABalaaaalp,154,220.374,0
ABalaaaalp,155,221.805,0
ABalaaaalp,156,223.236,0
ABalaaaalp,157,224.667,NaN
ABalaaaalp,158,226.098,NaN
ABalaaaalp,159,227.529,NaN
ABalaaaalp,160,228.96,NaN
ABalaaaalp,161,230.391,NaN
ABalaaaalp,162,231.822,NaN
ABalaaaalp,163,233.253,NaN
ABalaaaalp,164,234.684,NaN
ABalaaaalp,165,236.115,NaN
ABalaaaalp,166,237.546,NaN
ABalaaaalp,167,238.977,NaN
ABalaaaalp,168,240.408,NaN
ABalaaaalp,169,241.839,NaN
ABalaaaalp,170,243.27,NaN
ABalaaaalp,171,244.701,NaN
ABalaaaalp,172,246.132,NaN
ABalaaaalp,173,247.563,NaN
ABalaaaalp,174,248.994,NaN
ABalaaaalp,175,250.425,NaN
ABalaaaalp,176,251.856,NaN
ABalaaaalp,177,253.287,NaN
ABalaaaalp,178,254.718,NaN
ABalaaaalp,179,256.149,NaN
ABalaaaalp,180,257.58,NaN
ABalaaaalp,181,259.011,NaN
ABalaaaalp,182,260.442,NaN
ABalaaaalp,183,261.873,NaN
ABalaaaalp,184,263.304,NaN
ABalaaaalar,183,261.873,NaN
ABalaaaalar,184,263.304,NaN
ABalaaaalar,185,264.735,NaN
ABalaaaalar,186,266.166,NaN
ABalaaaalar,187,267.597,NaN
ABalaaaalar,188,269.028,NaN
